id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Resolution,Pantalla,Brand,Family,Model,Clock Speed (GHz),Gpu Brand,Gpu Model,Gpu Type,Storage Type
657,Dell,Notebook,15.6,8,Windows 10,1.9,1008.52,1366x768,Full HD,Intel,Core i5,7300U,2.6,Intel,HD Graphics 620,Unknown,HDD
671,Asus,Gaming,15.6,8,Windows 10,2.3,1655.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
194,Lenovo,Notebook,15.6,4,Windows 10,2.3,977.0,1920x1080,Full HD,Intel,Core i5,6300HQ,2.3,Nvidia,GeForce GTX 950M,Dedicated,HDD
672,HP,Notebook,14.0,8,Windows 10,1.48,1292.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
1152,Acer,Notebook,15.6,4,Windows 10,2.23,619.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
201,MSI,Gaming,17.3,16,Windows 10,2.8,1890.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
792,Acer,Notebook,14.0,8,Windows 10,2.1,389.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
306,Lenovo,Ultrabook,14.0,16,Windows 10,1.14,2450.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
828,Dell,Notebook,15.6,16,Windows 10,2.3,859.01,1920x1080,Full HD,Intel,Core i7,7500U,2.7,AMD,Radeon R7 M445,Dedicated,HDD
1055,HP,Netbook,12.5,8,Windows 10,1.26,1483.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
813,Dell,Gaming,17.3,32,Windows 10,4.36,3659.4,3840x2160,4K Ultra HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
1000,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,789.01,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
110,HP,Notebook,15.6,8,Windows 10,2.04,806.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
399,Acer,Notebook,15.6,4,Linux,2.4,441.8,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
636,Lenovo,Notebook,15.6,8,No OS,2.2,709.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,HDD
1264,HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,1920x1080,Full HD,Intel,Core i5,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
318,Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
172,Acer,2 in 1 Convertible,14.0,8,Windows 10,1.2,1149.0,1920x1080,Full HD,Intel,Core i7,7Y75,1.3,Intel,HD Graphics 615,Unknown,SSD
293,Acer,Notebook,15.6,8,Windows 10,3.0,951.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Nvidia,GeForce MX150,Dedicated,SSD
138,Lenovo,2 in 1 Convertible,14.0,8,Windows 7,1.8,2050.38,1920x1080,Full HD,Intel,Core i7,6600U,2.6,Nvidia,Quadro M500M,Dedicated,SSD
747,MSI,Gaming,15.6,8,Windows 10,2.3,1169.0,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 960M,Dedicated,SSD
801,Lenovo,Notebook,14.0,16,Windows 7,1.1,2620.0,2560x1440,Full HD,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD
45,Dell,Ultrabook,14.0,8,Windows 10,1.36,1680.0,1920x1080,Full HD,Intel,Core i7,7600U,2.8,Intel,HD Graphics,Unknown,SSD
1262,Lenovo,Notebook,15.6,8,Windows 10,2.2,589.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,SSD
923,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,689.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
879,Acer,Notebook,17.3,8,Windows 10,3.3,629.0,1600x900,Full HD,Intel,Core i3,6006U,2.0,Nvidia,GeForce 940MX,Dedicated,HDD
931,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,1590.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
730,Asus,Gaming,15.6,8,Windows 10,2.2,1169.0,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 1060,Dedicated,HDD
55,Asus,Notebook,15.6,8,Linux,2.3,597.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Nvidia,GeForce 940MX,Dedicated,HDD
373,HP,2 in 1 Convertible,13.3,8,Windows 10,1.48,2041.0,2560x1440,Touchscreen,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD
603,Lenovo,Notebook,15.6,6,Windows 10,2.2,789.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD
197,Toshiba,Notebook,13.3,8,Windows 10,1.05,1475.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
599,Asus,Gaming,17.3,8,Windows 10,3.2,1695.0,1920x1080,Full HD,AMD,Ryzen,1600,3.2,AMD,Radeon RX 580,Dedicated,SSD
1258,Acer,Gaming,17.3,16,Windows 10,4.2,2299.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
682,HP,Notebook,14.0,4,Windows 10,1.63,722.0,1366x768,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,HDD
752,Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
283,Mediacom,Notebook,13.3,4,Windows 10,1.35,255.0,1920x1080,Full HD,Intel,Atom,x5-Z8350,1.44,Intel,HD Graphics,Unknown,Flash Storage
1205,Toshiba,Notebook,15.6,8,Windows 10,2.0,1388.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
1237,Acer,Notebook,15.6,4,Linux,2.1,272.0,1366x768,Full HD,Intel,Celeron,Dual,2.0,Intel,HD Graphics 500,Unknown,HDD
28,Dell,2 in 1 Convertible,15.6,12,Windows 10,2.19,1299.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
809,Dell,Notebook,15.6,8,Windows 10,2.13,767.8,1920x1080,Full HD,Intel,Core i7,8550U,1.8,AMD,Radeon 520,Dedicated,SSD
1274,HP,Notebook,15.6,6,Windows 10,1.91,568.9,1920x1080,Full HD,AMD,A10-Series,A10-9620P,2.5,AMD,Radeon 530,Dedicated,SSD
532,HP,Notebook,15.6,8,Windows 10,1.96,598.99,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
1167,Razer,Gaming,14.0,16,Windows 10,1.95,3499.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
942,Lenovo,Notebook,15.6,8,Windows 10,2.3,911.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
638,Acer,Notebook,15.6,6,Windows 10,2.1,479.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,HDD
739,HP,Notebook,15.6,8,Windows 10,2.04,900.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 930MX,Dedicated,HDD
1181,Asus,Notebook,15.6,4,Windows 10,2.37,398.99,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,HDD
109,Asus,Gaming,17.3,16,Windows 10,4.0,1900.0,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 970M,Dedicated,SSD
1235,Dell,Notebook,15.6,8,Windows 10,2.18,713.99,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
640,HP,Ultrabook,15.6,8,Windows 10,1.84,1296.99,1920x1080,Full HD,Intel,Core i7,6500U,2.5,AMD,Radeon R7 M365X,Dedicated,SSD
319,Lenovo,Notebook,15.6,8,No OS,2.3,573.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
1002,Asus,Notebook,14.0,2,Windows 10,1.65,199.0,1366x768,Full HD,AMD,E-Series,E2-6110,1.5,AMD,Radeon R2,Dedicated,Flash Storage
132,Dell,Notebook,14.0,4,Windows 10,1.76,755.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD
560,HP,Netbook,11.6,2,Windows 10,1.17,209.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,Flash Storage
601,Asus,Notebook,15.6,4,Windows 10,1.86,419.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,SSD
495,Dell,Gaming,17.3,32,Windows 10,4.42,3072.89,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD
839,Asus,Gaming,15.6,16,Windows 10,2.5,1799.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
622,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,799.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
619,Asus,Notebook,17.3,4,Windows 10,2.0,564.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Nvidia,GeForce 920MX,Dedicated,HDD
631,MSI,Gaming,14.0,16,Windows 10,1.6,1891.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
515,Lenovo,Notebook,17.3,8,No OS,2.8,698.0,1600x900,Full HD,Intel,Core i5,8250U,1.6,Nvidia,GeForce MX150,Dedicated,SSD
869,LG,Ultrabook,15.6,8,Windows 10,1.09,2299.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,HD Graphics 620,Unknown,SSD
1068,HP,Workstation,15.6,8,Windows 7,2.59,2229.0,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,Quadro M1000M,Dedicated,SSD
99,Dell,Ultrabook,14.0,8,Windows 10,1.5,1962.98,2560x1440,Touchscreen,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD
795,Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,1366x768,Full HD,AMD,E-Series,6110,1.5,AMD,Radeon R2,Dedicated,SSD
408,Lenovo,2 in 1 Convertible,13.3,16,Windows 10,1.3,1499.0,3200x1800,Quad HD+,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
634,Asus,Gaming,17.3,24,Windows 10,4.33,1269.0,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 965M,Dedicated,SSD
489,Acer,Notebook,15.6,4,Windows 10,2.1,400.0,1366x768,Full HD,AMD,A9-Series,9420,3.0,AMD,Radeon R5,Dedicated,HDD
544,MSI,Gaming,17.3,8,Windows 10,2.7,1409.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
853,Lenovo,Notebook,15.6,8,Windows 10,2.3,850.66,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
15,Lenovo,Notebook,14.0,8,Windows 10,1.32,1650.0,1920x1080,Full HD,Intel,Core i5,7300U,2.6,Intel,HD Graphics 620,Unknown,SSD
485,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.22,1649.0,1920x1080,Full HD,Intel,Core i7,7Y75,1.3,Intel,HD Graphics 615,Unknown,SSD
290,Asus,Notebook,15.6,4,Windows 10,2.0,304.0,1366x768,Full HD,Intel,Pentium,Quad,1.1,Intel,HD Graphics 500,Unknown,HDD
860,Acer,Notebook,15.6,12,Windows 10,2.2,693.99,1366x768,Full HD,Intel,Core i5,8250U,1.6,Nvidia,GeForce MX130,Dedicated,HDD
1206,HP,Notebook,14.0,4,Windows 10,1.95,1060.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
1174,Dell,Notebook,15.6,8,Windows 10,2.18,789.81,1920x1080,Full HD,Intel,Core i5,7200U,2.5,AMD,Radeon R5 M420,Dedicated,SSD
566,Dell,Notebook,15.6,4,Linux,2.18,465.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon R5 M420,Dedicated,HDD
227,Lenovo,Gaming,15.6,8,No OS,2.4,809.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD
967,HP,Notebook,15.6,6,Windows 10,2.04,549.99,1920x1080,Full HD,AMD,A9-Series,9410,2.9,AMD,Radeon R7 M440,Dedicated,Hybrid
423,Dell,Notebook,14.0,4,Windows 10,1.76,585.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
1221,Acer,Notebook,14.0,4,Windows 10,1.6,329.0,1920x1080,Full HD,Intel,Celeron,Quad,1.1,Intel,HD Graphics 500,Unknown,Flash Storage
1116,HP,Ultrabook,13.3,8,Windows 10,1.39,1149.0,3200x1800,Quad HD+,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
947,Asus,Notebook,15.6,8,Windows 10,2.0,399.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,HDD
178,Lenovo,Ultrabook,14.0,8,Windows 10,1.17,1686.64,2560x1440,Quad HD+,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
580,Dell,Notebook,14.0,8,Linux,1.64,1089.0,1920x1080,Full HD,Intel,Core i5,7440HQ,2.8,Nvidia,GeForce 930MX,Dedicated,SSD
370,Dell,Notebook,15.6,8,Windows 10,2.0,665.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,SSD
291,Apple,Ultrabook,12.0,8,macOS,0.92,1510.0,2304x1440,Retina Display,Intel,Core i5,1.3GHz,1.3,Intel,HD Graphics 615,Unknown,SSD
652,Acer,Notebook,17.3,4,Windows 10,3.0,655.0,1920x1080,Full HD,Intel,Core i3,7130U,2.7,Nvidia,GeForce MX130,Dedicated,HDD
349,Lenovo,Ultrabook,14.0,12,Windows 7,1.4,2299.0,1920x1080,Full HD,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD
23,Apple,Ultrabook,13.3,8,macOS,1.34,898.94,1440x900,Full HD,Intel,Core i5,1.8GHz,1.8,Intel,HD Graphics 6000,Unknown,Flash Storage
956,Acer,Notebook,15.6,4,Windows 10,2.1,449.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,SSD
996,HP,Notebook,17.3,8,Windows 10,2.65,544.15,1600x900,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
1296,Dell,Gaming,15.6,16,Windows 10,2.6,1349.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
482,Lenovo,Gaming,17.3,16,Windows 10,4.6,2749.99,1920x1080,Full HD,Intel,Core i7,6820HK,2.7,Nvidia,GeForce GTX 980M,Dedicated,SSD
650,Acer,Notebook,15.6,4,Linux,2.1,412.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,SSD
624,Acer,Notebook,14.0,4,Windows 10,1.6,349.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics 405,Unknown,Flash Storage
888,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
488,Acer,Notebook,14.0,2,Chrome OS,1.68,330.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,Flash Storage
1238,Dell,Notebook,15.6,4,Linux,2.3,598.9,1920x1080,Full HD,Intel,Core i5,7200U,2.5,AMD,Radeon R5 M430,Dedicated,SSD
154,Dell,Notebook,14.0,8,Windows 10,1.56,1229.0,1920x1080,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD
381,Asus,2 in 1 Convertible,12.5,4,Chrome OS,1.2,669.0,1920x1080,Full HD,Intel,Core M,M3-6Y30,0.9,Intel,HD Graphics 515,Unknown,Flash Storage
512,Lenovo,Ultrabook,14.0,8,Windows 10,1.13,2049.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,Flash Storage
494,Lenovo,Notebook,15.6,16,Windows 7,2.5,2370.0,3840x2160,4K Ultra HD,Intel,Core i7,6820HQ,2.7,Nvidia,Quadro M2000M,Dedicated,SSD
742,Dell,2 in 1 Convertible,15.6,4,Windows 10,2.08,795.99,1920x1080,Full HD,Intel,Core i3,6100U,2.3,Intel,HD Graphics 520,Unknown,HDD
61,Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,AMD,Radeon 530,Dedicated,SSD
907,Dell,Notebook,15.6,8,Windows 10,2.09,1046.44,1920x1080,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,HDD
308,MSI,Gaming,17.3,16,Windows 10,4.14,2199.0,1920x1080,Full HD,Intel,Core i7,6820HK,2.7,Nvidia,GeForce GTX 970M,Dedicated,SSD
72,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,HDD
454,Dell,Notebook,15.6,8,Windows 10,2.2,675.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,AMD,Radeon 520,Dedicated,HDD
978,MSI,Gaming,17.3,16,Windows 10,2.43,2649.0,3840x2160,4K Ultra HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 1060,Dedicated,SSD
581,Mediacom,Notebook,14.0,4,Windows 10,1.45,389.0,1920x1080,Full HD,Intel,Celeron,Quad,1.1,Intel,HD Graphics 500,Unknown,SSD
1192,Apple,Ultrabook,13.3,8,macOS,1.37,2040.0,2560x1600,Retina Display,Intel,Core i5,3.1GHz,3.1,Intel,Iris Plus Graphics 650,Unknown,SSD
1268,Lenovo,Ultrabook,14.0,8,Windows 10,1.75,1215.38,1920x1080,Full HD,Intel,Core i7,8550U,1.8,AMD,Radeon RX 550,Dedicated,SSD
1160,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1757.42,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
1040,Lenovo,Notebook,15.6,4,Windows 10,2.38,1055.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
658,Dell,Notebook,15.6,8,Windows 10,1.93,1369.0,1920x1080,Full HD,Intel,Core i7,7600U,2.8,Nvidia,GeForce 930MX,Dedicated,SSD
1018,Lenovo,2 in 1 Convertible,15.6,4,Windows 10,2.1,867.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
531,Lenovo,Gaming,15.6,16,Windows 10,2.4,1129.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD
723,Dell,Ultrabook,12.5,8,Windows 10,1.6,1690.0,1920x1080,Full HD,Intel,Core i7,7600U,2.8,Intel,HD Graphics 620,Unknown,SSD
1077,Lenovo,Notebook,15.6,8,Windows 10,2.3,819.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce 940MX,Dedicated,SSD
877,Asus,Ultrabook,13.3,8,Windows 10,1.2,729.0,1920x1080,Full HD,Intel,Core M,6Y30,0.9,Intel,HD Graphics 515,Unknown,SSD
645,HP,Notebook,15.6,4,Windows 10,1.86,488.69,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
342,HP,Notebook,15.6,4,Windows 10,1.86,469.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
426,MSI,Gaming,17.3,16,Windows 10,4.14,2729.0,1920x1080,Full HD,Intel,Core i7,7820HK,2.9,Nvidia,GeForce GTX 1070,Dedicated,SSD
753,Lenovo,Notebook,14.0,8,Windows 10,1.8,1191.0,1920x1080,Full HD,Intel,Core i5,6300HQ,2.3,Intel,HD Graphics 520,Unknown,SSD
261,Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,1867.85,2256x1504,Touchscreen,Intel,Core i7,7600U,2.8,Intel,Iris Plus Graphics 640,Unknown,SSD
395,Apple,Ultrabook,12.0,8,Mac OS X,0.92,1165.0,2304x1440,Retina Display,Intel,Core M,1.2GHz,1.2,Intel,HD Graphics 5300,Unknown,Flash Storage
766,Lenovo,Notebook,15.6,4,No OS,1.9,489.9,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
209,Dell,2 in 1 Convertible,15.0,4,Windows 10,2.08,509.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,HDD
1138,HP,Ultrabook,14.0,8,Windows 7,1.54,2198.19,2560x1440,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
64,Lenovo,Ultrabook,14.0,8,Windows 10,1.96,1903.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GT 940MX,Dedicated,SSD
1161,Asus,2 in 1 Convertible,13.3,6,Windows 10,1.5,639.01,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
366,HP,Notebook,13.3,8,Windows 10,1.16,1690.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
92,Acer,Notebook,15.6,4,Windows 10,2.4,387.0,1366x768,Full HD,AMD,A8-Series,7410,2.2,AMD,Radeon R5,Dedicated,HDD
50,HP,Ultrabook,12.5,8,Windows 10,1.09,3100.0,3840x2160,4K Ultra HD,Intel,Core M,6Y75,1.2,Intel,HD Graphics 515,Unknown,SSD
656,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,1095.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
606,Lenovo,Notebook,14.0,2,Windows 10,1.5,229.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,Flash Storage
503,Lenovo,Notebook,15.6,4,Windows 7,2.32,825.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,Hybrid
1288,Dell,Notebook,15.6,4,Windows 10,2.18,684.99,1366x768,Full HD,Intel,Core i5,7200U,2.5,AMD,Radeon R5 M420,Dedicated,HDD
1193,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.8,638.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
188,Toshiba,Notebook,13.3,8,Windows 10,1.2,1213.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
945,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.24,1899.0,1920x1080,Full HD,Intel,Core i5,7Y54,1.2,Intel,HD Graphics 615,Unknown,SSD
1024,HP,Notebook,15.6,4,Windows 10,1.86,438.69,1366x768,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon 520,Dedicated,HDD
53,HP,Notebook,17.3,4,Windows 10,2.5,699.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon R5 520,Dedicated,SSD
981,Lenovo,Notebook,15.6,8,Windows 10,2.2,899.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 920MX,Dedicated,HDD
1282,Lenovo,Gaming,15.6,16,Windows 10,2.6,1029.0,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 960M,Dedicated,SSD
721,HP,Notebook,15.6,6,Windows 10,2.1,529.0,1920x1080,Full HD,AMD,A12-Series,9720P,2.7,AMD,Radeon 530,Dedicated,HDD
441,Dell,Notebook,15.6,4,Linux,2.18,521.86,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 520,Unknown,HDD
1222,HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce MX150,Dedicated,SSD
992,Dell,Notebook,15.6,8,Windows 10,2.18,1009.9,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD
1271,Asus,2 in 1 Convertible,11.6,2,Windows 10,1.1,275.0,1366x768,Touchscreen,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,Flash Storage
546,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,HDD
541,HP,Notebook,14.0,8,Windows 7,1.43,1469.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD
915,Razer,Gaming,14.0,16,Windows 10,1.95,2599.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
543,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1825.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
139,HP,Notebook,15.6,4,Windows 10,2.04,521.47,1366x768,Touchscreen,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,HDD
929,Dell,Notebook,15.6,8,Linux,2.3,805.99,1366x768,Full HD,Intel,Core i7,7500U,2.7,AMD,Radeon R5 M430,Dedicated,HDD
565,HP,Notebook,15.6,8,Windows 10,2.04,629.0,1366x768,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,HDD
300,Lenovo,Notebook,15.6,8,Windows 10,2.2,597.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
960,HP,Notebook,15.6,4,No OS,1.86,299.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,SSD
750,HP,Gaming,17.3,8,Windows 10,2.75,1399.0,1920x1080,Full HD,Intel,Core i5,6300HQ,2.3,Nvidia,GeForce GTX 965M,Dedicated,SSD
362,Asus,Notebook,15.6,4,Windows 10,2.37,849.9,1366x768,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD
